slug,name,domain,state,placement_url,in_external_dataset
harvard,Harvard University,economics.harvard.edu,MA,https://economics.harvard.edu/placement,yes
mit,Massachusetts Institute of Technology,economics.mit.edu,MA,https://economics.mit.edu/academic-programs/phd-program/job-market,no
stanford,Stanford University,economics.stanford.edu,CA,https://economics.stanford.edu/graduate/student-placement,yes
berkeley,University of California Berkeley,econ.berkeley.edu,CA,https://econ.berkeley.edu/graduate/program/recent-outcomes,yes
chicago,University of Chicago,economics.uchicago.edu,IL,https://economics.uchicago.edu/phd-program/career-placement,yes
princeton,Princeton University,economics.princeton.edu,NJ,https://economics.princeton.edu/graduate-program/job-market-and-placements/statistics-on-past-placements/,yes
yale,Yale University,economics.yale.edu,CT,https://economics.yale.edu/phd-program/placement/outcomes,yes
northwestern,Northwestern University,economics.northwestern.edu,IL,https://economics.northwestern.edu/graduate/prospective/placement.html,yes
columbia,Columbia University,econ.columbia.edu,NY,https://econ.columbia.edu/phd/placement/,yes
upenn,University of Pennsylvania,economics.sas.upenn.edu,PA,https://economics.sas.upenn.edu/graduate/prospective-students/placement-information,yes
ucla,University of California Los Angeles,economics.ucla.edu,CA,https://economics.ucla.edu/graduate/graduate-profiles/graduate-placement-history/,no
nyu,New York University,econ.nyu.edu,NY,https://as.nyu.edu/departments/econ/job-market/placements.html,yes
michigan,University of Michigan,lsa.umich.edu/econ,MI,https://lsa.umich.edu/econ/doctoral-program/past-job-market-placements.html,yes
ucsd,University of California San Diego,economics.ucsd.edu,CA,https://economics.ucsd.edu/graduate-program/jobmarket-tab/placement-history.html,yes
brown,Brown University,economics.brown.edu,RI,https://economics.brown.edu/academics/graduate/job-placement-results,yes
caltech,California Institute of Technology,hss.caltech.edu,CA,https://www.hss.caltech.edu/graduate-studies/alumni,no
cornell,Cornell University,economics.cornell.edu,NY,https://economics.cornell.edu/historical-placement-phd-students,yes
wisconsin,University of Wisconsin-Madison,econ.wisc.edu,WI,https://econ.wisc.edu/doctoral/career-placement/,yes
duke,Duke University,econ.duke.edu,NC,https://econ.duke.edu/phd-program/prospective-students/placements,yes
minnesota,University of Minnesota,economics.umn.edu,MN,https://cla.umn.edu/economics/graduate/job-placement-achievements,yes
jhu,Johns Hopkins University,econ.jhu.edu,MD,https://econ.jhu.edu/graduate/recent-placements/,yes
utaustin,University of Texas at Austin,liberalarts.utexas.edu/economics,TX,https://liberalarts.utexas.edu/economics/ph-d-program/ph-d-career-outcomes/,yes
bostonu,Boston University,bu.edu/econ,MA,https://www.bu.edu/econ/academics/phd/recent-phd-placements/,yes
uc_davis,University of California Davis,economics.ucdavis.edu,CA,https://economics.ucdavis.edu/graduate-student-placements,no
maryland,University of Maryland,econ.umd.edu,MD,https://www.econ.umd.edu/graduate/job-placement,yes
penn_state,Pennsylvania State University,econ.psu.edu,PA,https://econ.la.psu.edu/ph-d-program/initial-placements-of-ph-d-graduates/,no
